oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Honor,X10 5G,2020,2020,null,203,Dual SIM (Nano-SIM  dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,6.63 inches  106.1 cm (~84.7% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~397 ppi density),Fingerprint (side-mounted)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3.1  no Google Play Services
Honor,V6,2020,2020,null,480,null,IPS LCD capacitive touchscreen  16M colors,10.4 inches  307.9 cm (~81.1% screen-to-body ratio),1200 x 2000 pixels  5:3 ratio (~224 ppi density),Accelerometer  proximity  compass,Android 10  Magic UI 3.1  no Google Play Services
Honor,9A,2020,2020,null,185,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.3 inches  95.8 cm (~81.3% screen-to-body ratio),720 x 1600 pixels  20:9 ratio (~278 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity,Android 10  Magic UI 3.1  no Google Play Services
Honor,9C,2020,2020,null,176,Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.39 inches  100.2 cm (~82.4% screen-to-body ratio),720 x 1560 pixels  19.5:9 ratio (~269 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 10  EMUI 10.1  no Google Play Services
Honor,9S,2020,2020,null,144,Dual SIM (Nano-SIM  dual stand-by),Capacitive touchscreen  16M colors,5.45 inches  76.7 cm (~73.8% screen-to-body ratio),720 x 1440 pixels  18:9 ratio (~295 ppi density),Accelerometer  proximity,Android 10  Magic UI 3.1  no Google Play Services
Honor,9X Lite,2020,2020,null,188,Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.5 inches  103.2 cm (~84.0% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~397 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)  EMUI 9.1
Honor,30 Pro+,2020,2020,null,190,Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.57 inches  106.0 cm (~89.8% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~392 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3  no Google Play Services
Honor,30 Pro,2020,2020,null,186,Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.57 inches  106.0 cm (~89.8% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~392 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3  no Google Play Services
Honor,30,2020,2020,null,185,Hybrid Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.53 inches  102.9 cm (~86.6% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~403 ppi density),Fingerprint (under display  optical)  accelerometer  gyro  proximity  compass,Android 10  Magic UI 3  no Google Play Services
Honor,20e,2020,2020,null,164,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM  dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.21 inches  94.7 cm (~83.1% screen-to-body ratio),1080 x 2340 pixels  19.5:9 ratio (~415 ppi density),Fingerprint (rear-mounted)  accelerometer  proximity  compass,Android 9.0 (Pie)  EMUI 9.1  no Google Play Services
Honor,Play 4T Pro,2020,2020,null,165,Dual SIM (Nano-SIM  dual stand-by),OLED capacitive touchscreen  16M colors,6.3 inches  95.8 cm (~83.2% screen-to-body ratio),1080 x 2400 pixels  20:9 ratio (~418 ppi density),Fingerprint (under display  optical)  accelerometer  proximity  compass,Android 10  Magic UI 2  no Google Play Services
